date,name,weight
2019-02-10,raisin,17.9375
2019-02-10,simone,10.625
2019-02-10,gagne,10.6875
2019-02-13,raisin,18.0625
2019-02-13,simone,10.625
2019-02-13,gagne,10.8125
2019-02-15,raisin,17.875
2019-02-26,raisin,17.8125
2019-02-26,simone,10.375
2019-02-26,gagne,10.4375
2019-02-28,raisin,17.625
2019-02-28,simone,10.25
2019-02-28,gagne,10.3125
2019-03-03,raisin,17.4375
2019-03-03,simone,10.3125
2019-03-03,gagne,10.1875
2019-03-05,raisin,17.5625
2019-03-05,simone,10.4375
2019-03-05,gagne,10.5
2019-03-19,raisin,18.0625
2019-03-19,simone,9.9375
2019-03-19,gagne,9.875
2019-03-21,raisin,18.0625
2019-03-21,simone,10.125
2019-03-21,gagne,10.0625
2019-03-23,raisin,17.9375
2019-03-23,simone,10.0625
2019-03-23,gagne,10.0625
2019-03-25,raisin,17.9375
2019-03-25,simone,10.0625
2019-03-25,gagne,10.0625
2019-03-31,raisin,17.8125
2019-03-31,simone,10.4375
2019-03-31,gagne,10.375
2019-04-05,raisin,17.8125
2019-04-05,simone,10.25
2019-04-05,gagne,10.4375
2019-04-07,raisin,17.875
2019-04-07,simone,10.25
2019-04-07,gagne,10.4375
2019-04-09,raisin,17.9375
2019-04-09,simone,10.375
2019-04-09,gagne,10.4375
2019-04-11,raisin,17.9375
2019-04-11,simone,10.375
2019-04-11,gagne,10.375
2019-04-15,raisin,17.625
2019-04-15,simone,9.9375
2019-04-15,gagne,9.9375
2019-04-21,raisin,17.625
2019-04-21,simone,10.3125
2019-04-21,gagne,10.125
2019-04-24,raisin,17.6875
2019-04-24,simone,10.375
2019-04-24,gagne,10.1875
2019-04-30,raisin,17.5625
2019-04-30,simone,10.0625
2019-04-30,gagne,9.8125
2019-05-03,raisin,17.5
2019-05-03,simone,10.3125
2019-05-03,gagne,10.0625
2019-05-06,raisin,17.5625
2019-05-06,simone,10.0625
2019-05-06,gagne,10.0625
2019-05-10,raisin,17.25
2019-05-10,simone,10.1875
2019-05-10,gagne,10.125
2019-05-17,raisin,17.5
2019-05-17,simone,10.25
2019-05-17,gagne,10.0625
2019-05-31,raisin,17.25
2019-05-31,simone,9.875
2019-05-31,gagne,9.5
2019-06-08,raisin,18.0625
2019-06-08,simone,10.4375
2019-06-08,gagne,9.875
2019-06-12,raisin,17.6875
2019-06-12,simone,10.3125
2019-06-12,gagne,9.5625
2019-06-15,raisin,17.75
2019-06-15,simone,10.25
2019-06-15,gagne,9.5
2019-06-21,raisin,18.25
2019-06-21,simone,10.5625
2019-06-21,gagne,9.5625
2019-07-03,raisin,18
2019-07-03,simone,10
2019-07-03,gagne,9.3125
2019-07-08,raisin,18.0625
2019-07-08,simone,10.6875
2019-07-08,gagne,9.375
2019-07-16,raisin,18.375
2019-07-16,simone,10.4375
2019-07-16,gagne,8.9375
2019-07-19,raisin,18.125
2019-07-19,simone,10.375
2019-07-19,gagne,9
2019-07-23,raisin,NA
2019-07-23,simone,10.25
2019-07-23,gagne,8.75
2019-07-26,raisin,18.1875
2019-07-26,simone,10.25
2019-07-26,gagne,9
2019-07-30,raisin,18.125
2019-07-30,simone,10.25
2019-07-30,gagne,8.75
2019-08-04,raisin,18.1875
2019-08-04,simone,10.375
2019-08-04,gagne,8.6875
2019-08-06,raisin,18.1875
2019-08-06,simone,10.4375
2019-08-06,gagne,8.8125
2019-08-10,raisin,17.9375
2019-08-10,simone,10.1875
2019-08-10,gagne,8.75
2019-08-14,raisin,7.9375
2019-08-14,simone,10.4375
2019-08-14,gagne,8.875
2019-08-18,raisin,18
2019-08-18,simone,10.25
2019-08-18,gagne,8.6875
2019-08-22,raisin,17.875
2019-08-22,simone,10.375
2019-08-22,gagne,8.5625
2019-08-25,raisin,17.9375
2019-08-25,simone,10.3125
2019-08-25,gagne,8.375
2019-08-28,raisin,17.8125
2019-08-28,simone,10.3125
2019-08-28,gagne,8.125
2019-09-03,raisin,17.875
2019-09-03,simone,9.875
2019-09-06,raisin,17.4375
2019-09-06,simone,10.125
2019-09-06,gagne,8
2019-09-22,raisin,17.875
2019-09-22,simone,9.9375
2019-09-25,raisin,17.625
2019-09-25,simone,10.1875
2019-10-02,raisin,17.5625
2019-10-02,simone,10.25
2019-10-07,raisin,17.5
2019-10-07,simone,10.0625
2019-10-11,raisin,17.375
2019-10-11,simone,10.25
2019-10-15,raisin,17.5625
2019-10-15,simone,10.3125
2019-10-19,raisin,17.6875
2019-10-19,simone,10.1875
2019-10-22,raisin,17.6875
2019-10-22,simone,10.3125
2019-11-04,raisin,17.125
2019-11-04,simone,9.125
2019-11-06,raisin,17.375
2019-11-06,simone,9.625
2019-11-10,raisin,17.5625
2019-11-10,simone,10
2019-11-17,raisin,17.3125
2019-11-17,simone,9.75
2019-11-24,raisin,17.625
2019-11-24,simone,9.875
2019-11-30,raisin,17.375
2019-11-30,simone,9.75
2019-12-07,raisin,17.5
2019-12-07,simone,9.875
2019-12-12,raisin,17.75
2019-12-12,simone,10
2019-12-15,raisin,17.875
2019-12-15,simone,10
2019-12-19,raisin,17.8125
2019-12-19,simone,9.875
2019-12-30,raisin,17.8125
2019-12-30,simone,9.875
2020-01-11,raisin,17.5625
2020-01-11,simone,9.625
2020-01-13,raisin,17.625
2020-01-13,simone,9.5625
2020-01-19,raisin,17.9375
2020-01-19,simone,9.6875
2020-01-22,raisin,17.875
2020-01-22,simone,9.8125
2020-01-29,raisin,18
2020-01-29,simone,9.9375
2020-02-03,raisin,17.3125
2020-02-03,simone,9.3125
2020-02-06,raisin,17.375
2020-02-06,simone,9.625
2020-02-13,raisin,17.4375
2020-02-13,simone,9.9375
2020-02-18,raisin,17.25
2020-02-18,simone,9.25
2020-02-25,raisin,17.3125
2020-02-25,simone,9.75
2020-03-04,raisin,17.5
2020-03-04,simone,10.0625
2020-03-10,raisin,17.5
2020-03-10,simone,10
2020-03-13,raisin,17.5
2020-03-13,simone,9.9375
2020-03-20,raisin,17.625
2020-03-20,simone,10.1875
2020-03-24,raisin,17.5625
2020-03-24,simone,10.0625
2020-03-30,raisin,17.875
2020-03-30,simone,10.0625
2020-04-03,raisin,17.875
2020-04-03,simone,10.0625
2020-04-06,raisin,17.8125
2020-04-06,simone,10.3125
2020-04-10,raisin,17.8125
2020-04-10,simone,10.1875
2020-04-17,raisin,17.9375
2020-04-17,simone,10.5
2020-04-20,raisin,17.9375
2020-04-20,simone,10.5625
2020-04-26,raisin,18.125
2020-04-26,simone,10.375
2020-05-02,raisin,18.3125
2020-05-02,simone,10.375
2020-05-06,raisin,18.1875
2020-05-06,simone,10.4375
2020-05-12,raisin,18.375
2020-05-12,simone,10.375
2020-05-16,raisin,18.375
2020-05-16,simone,10.5
2020-05-20,raisin,18.4375
2020-05-20,simone,10.5625
2020-05-22,raisin,18.5625
2020-05-22,simone,10.8125
2020-05-23,raisin,18.3125
